test	gender_pair	source	target	baseline	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q
EH2_085	SF3_TM2	5:MOS	5:MOS	1:MOS	2:MOS	2:MOS	1:MOS	3:MOS	3:MOS	3:MOS	3:MOS	4:MOS	2:MOS	4:MOS	5:MOS	2:MOS	3:MOS	3:MOS	4:MOS	2:MOS	2:MOS
EH2_099	SF3_TM2	4:MOS	2:MOS	1:MOS	2:MOS	4:MOS	2:MOS	1:MOS	1:MOS	1:MOS	1:MOS	2:MOS	4:MOS	4:MOS	1:MOS	1:MOS	1:MOS	2:MOS	4:MOS	2:MOS	2:MOS
EH2_046	SF3_TM2	5:MOS	5:MOS	1:MOS	2:MOS	4:MOS	1:MOS	2:MOS	4:MOS	2:MOS	2:MOS	1:MOS	1:MOS	2:MOS	4:MOS	2:MOS	2:MOS	2:MOS	2:MOS	3:MOS	3:MOS
EH2_078	SF3_TM2	5:MOS	3:MOS	2:MOS	3:MOS	2:MOS	1:MOS	1:MOS	1:MOS	3:MOS	1:MOS	3:MOS	2:MOS	1:MOS	2:MOS	2:MOS	1:MOS	2:MOS	3:MOS	4:MOS	3:MOS
EH2_034	SF3_TM2	5:MOS	5:MOS	1:MOS	2:MOS	3:MOS	1:MOS	2:MOS	3:MOS	4:MOS	4:MOS	1:MOS	1:MOS	2:MOS	3:MOS	2:MOS	4:MOS	2:MOS	5:MOS	3:MOS	4:MOS
EH2_093	SF3_TM2	5:MOS	4:MOS	2:MOS	2:MOS	2:MOS	1:MOS	1:MOS	4:MOS	1:MOS	5:MOS	2:MOS	1:MOS	3:MOS	4:MOS	1:MOS	3:MOS	4:MOS	5:MOS	3:MOS	3:MOS
EH2_008	SF3_TM2	5:MOS	4:MOS	1:MOS	3:MOS	2:MOS	1:MOS	3:MOS	1:MOS	1:MOS	4:MOS	3:MOS	1:MOS	3:MOS	2:MOS	3:MOS	3:MOS	4:MOS	1:MOS	4:MOS	4:MOS
EH2_032	SF3_TM2	4:MOS	4:MOS	2:MOS	2:MOS	1:MOS	1:MOS	3:MOS	2:MOS	4:MOS	3:MOS	2:MOS	1:MOS	3:MOS	2:MOS	3:MOS	2:MOS	2:MOS	4:MOS	3:MOS	2:MOS
EH2_091	SF3_TM2	5:MOS	5:MOS	2:MOS	3:MOS	2:MOS	1:MOS	2:MOS	4:MOS	2:MOS	2:MOS	2:MOS	1:MOS	2:MOS	2:MOS	2:MOS	2:MOS	4:MOS	3:MOS	2:MOS	3:MOS
EH2_019	SF3_TM2	5:MOS	5:MOS	1:MOS	3:MOS	2:MOS	1:MOS	2:MOS	2:MOS	3:MOS	3:MOS	2:MOS	2:MOS	2:MOS	3:MOS	2:MOS	2:MOS	4:MOS	3:MOS	3:MOS	4:MOS
EH2_052	SF3_TM2	5:MOS	5:MOS	2:MOS	3:MOS	4:MOS	2:MOS	3:MOS	2:MOS	4:MOS	3:MOS	2:MOS	2:MOS	3:MOS	4:MOS	3:MOS	3:MOS	3:MOS	3:MOS	3:MOS	3:MOS
EH2_097	SF3_TM2	5:MOS	4:MOS	2:MOS	3:MOS	3:MOS	2:MOS	2:MOS	3:MOS	2:MOS	3:MOS	3:MOS	2:MOS	4:MOS	4:MOS	3:MOS	2:MOS	3:MOS	3:MOS	4:MOS	4:MOS
EH2_051	SF3_TM2	5:MOS	4:MOS	3:MOS	2:MOS	3:MOS	1:MOS	3:MOS	4:MOS	3:MOS	2:MOS	2:MOS	3:MOS	4:MOS	4:MOS	2:MOS	3:MOS	3:MOS	3:MOS	3:MOS	3:MOS
EH2_002	SF3_TM2	4:MOS	5:MOS	1:MOS	2:MOS	2:MOS	1:MOS	1:MOS	2:MOS	3:MOS	2:MOS	2:MOS	1:MOS	2:MOS	4:MOS	1:MOS	2:MOS	4:MOS	4:MOS	4:MOS	2:MOS
EH2_004	SF3_TM2	4:MOS	5:MOS	1:MOS	4:MOS	4:MOS	1:MOS	2:MOS	1:MOS	2:MOS	1:MOS	3:MOS	1:MOS	3:MOS	2:MOS	3:MOS	2:MOS	2:MOS	2:MOS	3:MOS	3:MOS
EH2_100	SF3_TM2	5:MOS	5:MOS	2:MOS	4:MOS	2:MOS	1:MOS	3:MOS	3:MOS	4:MOS	4:MOS	2:MOS	1:MOS	5:MOS	4:MOS	4:MOS	3:MOS	4:MOS	3:MOS	5:MOS	5:MOS
EH2_082	SF3_TM2	4:MOS	5:MOS	1:MOS	4:MOS	5:MOS	1:MOS	5:MOS	3:MOS	2:MOS	3:MOS	4:MOS	2:MOS	4:MOS	3:MOS	4:MOS	3:MOS	4:MOS	4:MOS	5:MOS	2:MOS
EH2_006	SF3_TM2	5:MOS	5:MOS	2:MOS	2:MOS	4:MOS	1:MOS	1:MOS	2:MOS	3:MOS	2:MOS	4:MOS	1:MOS	3:MOS	2:MOS	2:MOS	1:MOS	3:MOS	3:MOS	3:MOS	2:MOS
EH2_042	SF3_TM2	5:MOS	5:MOS	2:MOS	4:MOS	2:MOS	1:MOS	2:MOS	1:MOS	3:MOS	3:MOS	3:MOS	2:MOS	3:MOS	3:MOS	4:MOS	2:MOS	2:MOS	2:MOS	3:MOS	2:MOS
EH2_017	SF3_TM2	5:MOS	5:MOS	1:MOS	4:MOS	5:MOS	1:MOS	1:MOS	5:MOS	2:MOS	5:MOS	3:MOS	2:MOS	3:MOS	3:MOS	2:MOS	1:MOS	1:MOS	4:MOS	3:MOS	5:MOS
EH2_014	SF3_TM2	5:MOS	5:MOS	2:MOS	3:MOS	4:MOS	2:MOS	2:MOS	2:MOS	3:MOS	4:MOS	2:MOS	2:MOS	5:MOS	3:MOS	2:MOS	3:MOS	2:MOS	2:MOS	3:MOS	3:MOS
EH2_049	SF3_TM2	5:MOS	4:MOS	1:MOS	3:MOS	2:MOS	1:MOS	2:MOS	3:MOS	3:MOS	2:MOS	2:MOS	1:MOS	2:MOS	2:MOS	3:MOS	1:MOS	2:MOS	2:MOS	2:MOS	2:MOS
EH2_007	SF3_TM2	3:MOS	5:MOS	1:MOS	3:MOS	2:MOS	1:MOS	1:MOS	3:MOS	3:MOS	2:MOS	2:MOS	2:MOS	3:MOS	2:MOS	2:MOS	2:MOS	3:MOS	4:MOS	2:MOS	3:MOS
EH2_068	SF3_TM2	5:MOS	5:MOS	2:MOS	2:MOS	3:MOS	1:MOS	4:MOS	2:MOS	3:MOS	3:MOS	3:MOS	2:MOS	3:MOS	4:MOS	2:MOS	2:MOS	4:MOS	4:MOS	3:MOS	3:MOS
EH2_089	SF3_TM2	5:MOS	5:MOS	1:MOS	2:MOS	2:MOS	1:MOS	2:MOS	2:MOS	3:MOS	2:MOS	4:MOS	1:MOS	2:MOS	1:MOS	3:MOS	2:MOS	2:MOS	2:MOS	4:MOS	4:MOS
EH2_005	SF3_TM2	4:MOS	5:MOS	1:MOS	1:MOS	1:MOS	1:MOS	1:MOS	1:MOS	2:MOS	2:MOS	1:MOS	1:MOS	2:MOS	2:MOS	2:MOS	1:MOS	3:MOS	3:MOS	3:MOS	1:MOS
EH2_098	SF3_TM2	3:MOS	4:MOS	2:MOS	1:MOS	1:MOS	1:MOS	3:MOS	1:MOS	2:MOS	1:MOS	1:MOS	2:MOS	2:MOS	1:MOS	3:MOS	3:MOS	2:MOS	1:MOS	2:MOS	2:MOS
EH2_065	SF3_TM2	4:MOS	5:MOS	1:MOS	3:MOS	2:MOS	1:MOS	2:MOS	1:MOS	2:MOS	4:MOS	3:MOS	1:MOS	4:MOS	3:MOS	3:MOS	2:MOS	4:MOS	3:MOS	3:MOS	3:MOS
EH2_061	SF3_TM2	4:MOS	3:MOS	1:MOS	2:MOS	1:MOS	1:MOS	2:MOS	1:MOS	1:MOS	3:MOS	1:MOS	1:MOS	3:MOS	2:MOS	2:MOS	1:MOS	1:MOS	2:MOS	2:MOS	2:MOS
EH2_045	SF3_TM2	5:MOS	5:MOS	1:MOS	2:MOS	2:MOS	1:MOS	1:MOS	1:MOS	1:MOS	1:MOS	2:MOS	1:MOS	2:MOS	3:MOS	2:MOS	1:MOS	3:MOS	3:MOS	3:MOS	2:MOS
EH2_033	SF3_TM2	4:MOS	5:MOS	1:MOS	2:MOS	2:MOS	1:MOS	1:MOS	1:MOS	3:MOS	2:MOS	2:MOS	1:MOS	3:MOS	2:MOS	2:MOS	2:MOS	2:MOS	3:MOS	3:MOS	1:MOS
EH2_011	SF3_TM2	5:MOS	5:MOS	2:MOS	4:MOS	3:MOS	2:MOS	3:MOS	3:MOS	4:MOS	4:MOS	3:MOS	4:MOS	4:MOS	3:MOS	4:MOS	3:MOS	4:MOS	4:MOS	4:MOS	3:MOS
EH2_013	SF3_TM2	5:MOS	5:MOS	1:MOS	2:MOS	3:MOS	1:MOS	2:MOS	1:MOS	2:MOS	4:MOS	1:MOS	1:MOS	2:MOS	1:MOS	2:MOS	1:MOS	3:MOS	3:MOS	3:MOS	2:MOS
EH2_087	SF3_TM2	5:MOS	5:MOS	1:MOS	4:MOS	4:MOS	2:MOS	3:MOS	1:MOS	3:MOS	3:MOS	3:MOS	2:MOS	2:MOS	3:MOS	3:MOS	4:MOS	4:MOS	3:MOS	4:MOS	4:MOS
EH2_080	SF3_TM2	4:MOS	5:MOS	1:MOS	2:MOS	4:MOS	2:MOS	3:MOS	2:MOS	4:MOS	4:MOS	2:MOS	2:MOS	3:MOS	2:MOS	4:MOS	1:MOS	1:MOS	3:MOS	2:MOS	3:MOS
EH2_050	SF3_TM2	5:MOS	4:MOS	1:MOS	2:MOS	2:MOS	1:MOS	2:MOS	1:MOS	3:MOS	3:MOS	2:MOS	1:MOS	3:MOS	3:MOS	3:MOS	1:MOS	2:MOS	2:MOS	3:MOS	3:MOS
EH2_029	SF3_TM2	4:MOS	5:MOS	1:MOS	1:MOS	3:MOS	1:MOS	1:MOS	1:MOS	3:MOS	2:MOS	3:MOS	2:MOS	3:MOS	1:MOS	2:MOS	1:MOS	4:MOS	3:MOS	2:MOS	3:MOS
EH2_031	SF3_TM2	5:MOS	5:MOS	1:MOS	2:MOS	5:MOS	1:MOS	3:MOS	4:MOS	3:MOS	2:MOS	1:MOS	2:MOS	2:MOS	3:MOS	4:MOS	4:MOS	3:MOS	3:MOS	4:MOS	5:MOS
EH2_026	SF3_TM2	4:MOS	4:MOS	1:MOS	2:MOS	2:MOS	1:MOS	1:MOS	1:MOS	2:MOS	2:MOS	2:MOS	1:MOS	2:MOS	2:MOS	2:MOS	1:MOS	3:MOS	2:MOS	2:MOS	1:MOS
EH2_086	SF3_TM2	5:MOS	5:MOS	2:MOS	2:MOS	2:MOS	1:MOS	3:MOS	2:MOS	4:MOS	2:MOS	2:MOS	1:MOS	3:MOS	2:MOS	4:MOS	1:MOS	5:MOS	5:MOS	4:MOS	2:MOS
EH2_037	SF3_TM2	5:MOS	5:MOS	2:MOS	3:MOS	4:MOS	1:MOS	3:MOS	4:MOS	3:MOS	2:MOS	4:MOS	2:MOS	3:MOS	1:MOS	2:MOS	2:MOS	4:MOS	3:MOS	1:MOS	3:MOS
EH2_053	SF3_TM2	4:MOS	5:MOS	1:MOS	3:MOS	1:MOS	1:MOS	2:MOS	1:MOS	4:MOS	4:MOS	3:MOS	2:MOS	4:MOS	1:MOS	4:MOS	1:MOS	3:MOS	3:MOS	1:MOS	2:MOS
EH2_075	SF3_TM2	4:MOS	4:MOS	2:MOS	2:MOS	2:MOS	1:MOS	4:MOS	2:MOS	2:MOS	2:MOS	4:MOS	1:MOS	4:MOS	3:MOS	2:MOS	2:MOS	1:MOS	2:MOS	2:MOS	4:MOS
EH2_048	SF3_TM2	2:MOS	4:MOS	1:MOS	2:MOS	2:MOS	1:MOS	2:MOS	2:MOS	3:MOS	3:MOS	2:MOS	1:MOS	2:MOS	2:MOS	1:MOS	2:MOS	1:MOS	1:MOS	1:MOS	2:MOS
EH2_021	SF3_TM2	5:MOS	5:MOS	1:MOS	3:MOS	2:MOS	1:MOS	2:MOS	2:MOS	3:MOS	4:MOS	2:MOS	2:MOS	4:MOS	3:MOS	3:MOS	2:MOS	3:MOS	3:MOS	3:MOS	2:MOS
EH2_058	SF3_TM2	5:MOS	4:MOS	1:MOS	1:MOS	1:MOS	1:MOS	1:MOS	2:MOS	4:MOS	2:MOS	2:MOS	1:MOS	2:MOS	2:MOS	2:MOS	1:MOS	3:MOS	2:MOS	1:MOS	1:MOS
EH2_001	SF3_TM2	5:MOS	5:MOS	1:MOS	2:MOS	3:MOS	2:MOS	3:MOS	2:MOS	3:MOS	4:MOS	5:MOS	3:MOS	3:MOS	2:MOS	4:MOS	3:MOS	2:MOS	4:MOS	2:MOS	2:MOS
EH2_063	SF3_TM2	5:MOS	5:MOS	1:MOS	3:MOS	2:MOS	1:MOS	2:MOS	2:MOS	4:MOS	5:MOS	1:MOS	3:MOS	4:MOS	2:MOS	3:MOS	1:MOS	2:MOS	4:MOS	4:MOS	4:MOS
EH2_038	SF3_TM2	5:MOS	4:MOS	1:MOS	2:MOS	4:MOS	1:MOS	2:MOS	5:MOS	5:MOS	3:MOS	1:MOS	1:MOS	4:MOS	3:MOS	3:MOS	4:MOS	3:MOS	3:MOS	3:MOS	5:MOS
EH2_036	SF3_TM2	3:MOS	4:MOS	1:MOS	2:MOS	1:MOS	1:MOS	2:MOS	1:MOS	3:MOS	3:MOS	3:MOS	1:MOS	2:MOS	2:MOS	3:MOS	2:MOS	3:MOS	2:MOS	3:MOS	3:MOS
EH2_030	SF3_TM2	5:MOS	5:MOS	3:MOS	5:MOS	5:MOS	3:MOS	5:MOS	4:MOS	5:MOS	5:MOS	4:MOS	4:MOS	4:MOS	5:MOS	5:MOS	5:MOS	5:MOS	5:MOS	5:MOS	5:MOS
EH2_071	SF3_TM2	4:MOS	5:MOS	2:MOS	3:MOS	2:MOS	1:MOS	1:MOS	2:MOS	2:MOS	1:MOS	3:MOS	1:MOS	3:MOS	1:MOS	2:MOS	1:MOS	2:MOS	1:MOS	2:MOS	1:MOS
EH2_027	SF3_TM2	5:MOS	4:MOS	1:MOS	4:MOS	3:MOS	1:MOS	2:MOS	3:MOS	3:MOS	4:MOS	2:MOS	2:MOS	4:MOS	4:MOS	2:MOS	1:MOS	4:MOS	4:MOS	4:MOS	2:MOS
EH2_054	SF3_TM2	5:MOS	1:MOS	2:MOS	3:MOS	2:MOS	2:MOS	3:MOS	2:MOS	3:MOS	4:MOS	3:MOS	2:MOS	4:MOS	3:MOS	2:MOS	4:MOS	3:MOS	3:MOS	2:MOS	3:MOS
EH2_047	SF3_TM2	5:MOS	5:MOS	1:MOS	3:MOS	2:MOS	1:MOS	2:MOS	2:MOS	3:MOS	4:MOS	2:MOS	1:MOS	3:MOS	2:MOS	2:MOS	2:MOS	3:MOS	4:MOS	3:MOS	4:MOS
EH2_003	SF3_TM2	2:MOS	5:MOS	1:MOS	3:MOS	2:MOS	1:MOS	2:MOS	2:MOS	3:MOS	2:MOS	3:MOS	2:MOS	2:MOS	2:MOS	2:MOS	1:MOS	1:MOS	2:MOS	4:MOS	2:MOS
EH2_022	SF3_TM2	5:MOS	5:MOS	1:MOS	4:MOS	4:MOS	1:MOS	3:MOS	2:MOS	3:MOS	2:MOS	2:MOS	2:MOS	3:MOS	4:MOS	4:MOS	3:MOS	3:MOS	4:MOS	3:MOS	3:MOS
EH2_028	SF3_TM2	5:MOS	5:MOS	2:MOS	4:MOS	4:MOS	2:MOS	3:MOS	3:MOS	3:MOS	4:MOS	3:MOS	3:MOS	4:MOS	4:MOS	4:MOS	3:MOS	5:MOS	4:MOS	4:MOS	2:MOS
EH2_056	SF3_TM2	4:MOS	5:MOS	2:MOS	2:MOS	4:MOS	2:MOS	4:MOS	2:MOS	3:MOS	4:MOS	2:MOS	2:MOS	4:MOS	4:MOS	1:MOS	2:MOS	2:MOS	4:MOS	2:MOS	3:MOS
EH2_035	SF3_TM2	4:MOS	3:MOS	2:MOS	4:MOS	3:MOS	2:MOS	2:MOS	2:MOS	2:MOS	1:MOS	3:MOS	2:MOS	2:MOS	2:MOS	2:MOS	2:MOS	2:MOS	2:MOS	2:MOS	2:MOS
EH2_072	SF3_TM2	5:MOS	5:MOS	2:MOS	3:MOS	3:MOS	1:MOS	3:MOS	1:MOS	4:MOS	3:MOS	3:MOS	2:MOS	3:MOS	2:MOS	4:MOS	2:MOS	4:MOS	4:MOS	2:MOS	5:MOS
EH2_040	SF3_TM2	5:MOS	5:MOS	4:MOS	4:MOS	4:MOS	3:MOS	3:MOS	4:MOS	2:MOS	5:MOS	4:MOS	2:MOS	2:MOS	5:MOS	4:MOS	4:MOS	4:MOS	5:MOS	4:MOS	2:MOS
EH2_039	SF3_TM2	4:MOS	5:MOS	1:MOS	3:MOS	2:MOS	1:MOS	2:MOS	2:MOS	3:MOS	1:MOS	4:MOS	3:MOS	3:MOS	5:MOS	2:MOS	3:MOS	4:MOS	4:MOS	3:MOS	4:MOS
EH2_059	SF3_TM2	5:MOS	5:MOS	1:MOS	2:MOS	3:MOS	1:MOS	5:MOS	3:MOS	2:MOS	3:MOS	1:MOS	2:MOS	3:MOS	3:MOS	2:MOS	1:MOS	3:MOS	4:MOS	2:MOS	3:MOS
EH2_012	SF3_TM2	5:MOS	5:MOS	1:MOS	2:MOS	2:MOS	1:MOS	2:MOS	2:MOS	2:MOS	3:MOS	3:MOS	2:MOS	3:MOS	2:MOS	1:MOS	3:MOS	4:MOS	2:MOS	3:MOS	2:MOS
EH2_024	SF3_TM2	4:MOS	4:MOS	4:MOS	1:MOS	4:MOS	2:MOS	3:MOS	3:MOS	2:MOS	4:MOS	4:MOS	2:MOS	4:MOS	2:MOS	5:MOS	2:MOS	4:MOS	2:MOS	4:MOS	2:MOS
EH2_095	SF3_TM2	4:MOS	5:MOS	1:MOS	3:MOS	3:MOS	1:MOS	1:MOS	1:MOS	2:MOS	2:MOS	1:MOS	2:MOS	2:MOS	4:MOS	1:MOS	2:MOS	2:MOS	2:MOS	1:MOS	2:MOS
EH2_023	SF3_TM2	5:MOS	5:MOS	1:MOS	4:MOS	3:MOS	1:MOS	3:MOS	1:MOS	2:MOS	4:MOS	2:MOS	2:MOS	4:MOS	2:MOS	1:MOS	2:MOS	4:MOS	4:MOS	4:MOS	4:MOS
EH2_069	SF3_TM2	4:MOS	5:MOS	2:MOS	2:MOS	3:MOS	1:MOS	2:MOS	2:MOS	3:MOS	2:MOS	2:MOS	1:MOS	2:MOS	1:MOS	4:MOS	1:MOS	2:MOS	4:MOS	2:MOS	2:MOS
EH2_083	SF3_TM2	5:MOS	5:MOS	1:MOS	4:MOS	4:MOS	1:MOS	2:MOS	4:MOS	1:MOS	4:MOS	3:MOS	2:MOS	4:MOS	3:MOS	4:MOS	2:MOS	2:MOS	3:MOS	4:MOS	4:MOS
EH2_018	SF3_TM2	4:MOS	3:MOS	1:MOS	1:MOS	2:MOS	1:MOS	1:MOS	1:MOS	1:MOS	1:MOS	1:MOS	2:MOS	1:MOS	1:MOS	2:MOS	1:MOS	1:MOS	2:MOS	1:MOS	1:MOS
EH2_025	SF3_TM2	4:MOS	4:MOS	1:MOS	2:MOS	2:MOS	1:MOS	2:MOS	1:MOS	3:MOS	3:MOS	1:MOS	2:MOS	3:MOS	1:MOS	3:MOS	2:MOS	4:MOS	4:MOS	2:MOS	1:MOS
EH2_015	SF3_TM2	5:MOS	5:MOS	1:MOS	2:MOS	2:MOS	2:MOS	2:MOS	2:MOS	2:MOS	1:MOS	2:MOS	2:MOS	2:MOS	2:MOS	3:MOS	3:MOS	1:MOS	2:MOS	3:MOS	2:MOS
EH2_074	SF3_TM2	4:MOS	2:MOS	1:MOS	2:MOS	1:MOS	1:MOS	3:MOS	1:MOS	3:MOS	1:MOS	1:MOS	1:MOS	2:MOS	2:MOS	4:MOS	1:MOS	3:MOS	2:MOS	2:MOS	3:MOS
EH2_041	SF3_TM2	5:MOS	5:MOS	1:MOS	2:MOS	2:MOS	1:MOS	2:MOS	3:MOS	3:MOS	3:MOS	3:MOS	1:MOS	3:MOS	1:MOS	2:MOS	1:MOS	2:MOS	4:MOS	3:MOS	3:MOS
EH2_073	SF3_TM2	5:MOS	5:MOS	1:MOS	2:MOS	3:MOS	1:MOS	3:MOS	2:MOS	2:MOS	3:MOS	2:MOS	1:MOS	4:MOS	3:MOS	3:MOS	3:MOS	3:MOS	1:MOS	2:MOS	1:MOS
EH2_016	SF3_TM2	5:MOS	5:MOS	1:MOS	3:MOS	3:MOS	1:MOS	2:MOS	2:MOS	3:MOS	3:MOS	3:MOS	1:MOS	3:MOS	2:MOS	3:MOS	2:MOS	3:MOS	3:MOS	3:MOS	2:MOS
EH2_057	SF3_TM2	4:MOS	5:MOS	2:MOS	1:MOS	3:MOS	1:MOS	3:MOS	1:MOS	3:MOS	2:MOS	2:MOS	1:MOS	2:MOS	1:MOS	2:MOS	2:MOS	2:MOS	2:MOS	2:MOS	1:MOS
EH2_066	SF3_TM2	5:MOS	5:MOS	2:MOS	4:MOS	2:MOS	1:MOS	2:MOS	5:MOS	4:MOS	3:MOS	4:MOS	2:MOS	3:MOS	4:MOS	3:MOS	2:MOS	3:MOS	4:MOS	4:MOS	4:MOS
EH2_010	SF3_TM2	4:MOS	5:MOS	2:MOS	3:MOS	4:MOS	1:MOS	2:MOS	4:MOS	4:MOS	4:MOS	3:MOS	2:MOS	4:MOS	4:MOS	4:MOS	3:MOS	4:MOS	4:MOS	4:MOS	4:MOS
EH2_020	SF3_TM2	4:MOS	3:MOS	3:MOS	4:MOS	3:MOS	2:MOS	2:MOS	1:MOS	2:MOS	2:MOS	1:MOS	1:MOS	2:MOS	3:MOS	1:MOS	2:MOS	2:MOS	4:MOS	2:MOS	2:MOS
EH2_060	SF3_TM2	5:MOS	5:MOS	1:MOS	4:MOS	3:MOS	1:MOS	2:MOS	1:MOS	2:MOS	3:MOS	2:MOS	2:MOS	4:MOS	2:MOS	4:MOS	1:MOS	2:MOS	3:MOS	3:MOS	3:MOS
EH2_062	SF3_TM2	5:MOS	5:MOS	2:MOS	3:MOS	4:MOS	2:MOS	3:MOS	4:MOS	4:MOS	4:MOS	4:MOS	2:MOS	4:MOS	4:MOS	2:MOS	4:MOS	3:MOS	4:MOS	4:MOS	3:MOS
EH2_067	SF3_TM2	5:MOS	5:MOS	1:MOS	3:MOS	4:MOS	2:MOS	4:MOS	1:MOS	4:MOS	5:MOS	4:MOS	2:MOS	5:MOS	4:MOS	3:MOS	4:MOS	5:MOS	3:MOS	3:MOS	3:MOS
EH2_094	SF3_TM2	5:MOS	5:MOS	2:MOS	4:MOS	4:MOS	2:MOS	3:MOS	2:MOS	4:MOS	2:MOS	3:MOS	2:MOS	5:MOS	3:MOS	4:MOS	2:MOS	4:MOS	4:MOS	3:MOS	4:MOS
EH2_055	SF3_TM2	5:MOS	5:MOS	2:MOS	3:MOS	4:MOS	4:MOS	1:MOS	3:MOS	3:MOS	2:MOS	3:MOS	4:MOS	2:MOS	1:MOS	1:MOS	3:MOS	3:MOS	4:MOS	2:MOS	4:MOS
EH2_070	SF3_TM2	5:MOS	4:MOS	1:MOS	1:MOS	3:MOS	1:MOS	1:MOS	1:MOS	2:MOS	2:MOS	2:MOS	1:MOS	2:MOS	1:MOS	2:MOS	2:MOS	1:MOS	3:MOS	1:MOS	2:MOS
EH2_092	SF3_TM2	5:MOS	5:MOS	2:MOS	2:MOS	3:MOS	1:MOS	2:MOS	2:MOS	2:MOS	3:MOS	3:MOS	2:MOS	3:MOS	4:MOS	3:MOS	2:MOS	2:MOS	4:MOS	2:MOS	3:MOS
EH2_064	SF3_TM2	4:MOS	2:MOS	1:MOS	3:MOS	2:MOS	1:MOS	2:MOS	2:MOS	2:MOS	2:MOS	2:MOS	1:MOS	2:MOS	1:MOS	2:MOS	3:MOS	1:MOS	2:MOS	2:MOS	1:MOS
EH2_088	SF3_TM2	2:MOS	5:MOS	4:MOS	4:MOS	3:MOS	4:MOS	5:MOS	5:MOS	5:MOS	5:MOS	3:MOS	5:MOS	5:MOS	4:MOS	5:MOS	4:MOS	3:MOS	3:MOS	3:MOS	4:MOS
EH2_079	SF3_TM2	5:MOS	5:MOS	1:MOS	3:MOS	2:MOS	1:MOS	1:MOS	1:MOS	2:MOS	2:MOS	4:MOS	2:MOS	4:MOS	4:MOS	2:MOS	2:MOS	4:MOS	4:MOS	3:MOS	3:MOS
EH2_084	SF3_TM2	2:MOS	2:MOS	2:MOS	2:MOS	2:MOS	2:MOS	4:MOS	4:MOS	4:MOS	2:MOS	4:MOS	2:MOS	5:MOS	2:MOS	4:MOS	4:MOS	2:MOS	2:MOS	4:MOS	4:MOS
EH2_077	SF3_TM2	5:MOS	5:MOS	1:MOS	2:MOS	1:MOS	1:MOS	2:MOS	1:MOS	3:MOS	4:MOS	2:MOS	2:MOS	4:MOS	2:MOS	2:MOS	2:MOS	4:MOS	3:MOS	3:MOS	2:MOS
EH2_090	SF3_TM2	5:MOS	5:MOS	1:MOS	3:MOS	4:MOS	1:MOS	2:MOS	1:MOS	4:MOS	3:MOS	1:MOS	1:MOS	2:MOS	1:MOS	2:MOS	2:MOS	3:MOS	2:MOS	2:MOS	1:MOS
EH2_081	SF3_TM2	4:MOS	4:MOS	2:MOS	1:MOS	3:MOS	1:MOS	1:MOS	1:MOS	2:MOS	3:MOS	1:MOS	1:MOS	3:MOS	2:MOS	2:MOS	1:MOS	2:MOS	3:MOS	2:MOS	1:MOS
EH2_076	SF3_TM2	5:MOS	5:MOS	2:MOS	3:MOS	3:MOS	1:MOS	1:MOS	2:MOS	4:MOS	4:MOS	2:MOS	2:MOS	3:MOS	2:MOS	3:MOS	2:MOS	3:MOS	4:MOS	3:MOS	3:MOS
EH2_096	SF3_TM2	5:MOS	5:MOS	1:MOS	2:MOS	4:MOS	1:MOS	2:MOS	2:MOS	3:MOS	4:MOS	2:MOS	2:MOS	3:MOS	1:MOS	1:MOS	1:MOS	3:MOS	2:MOS	1:MOS	4:MOS
EH2_044	SM1_TF2	3:MOS	4:MOS	1:MOS	2:MOS	2:MOS	1:MOS	1:MOS	2:MOS	2:MOS	1:MOS	1:MOS	1:MOS	2:MOS	2:MOS	3:MOS	1:MOS	1:MOS	2:MOS	1:MOS	1:MOS
EH2_009	SM1_TF2	5:MOS	5:MOS	1:MOS	2:MOS	3:MOS	1:MOS	3:MOS	3:MOS	4:MOS	3:MOS	2:MOS	1:MOS	4:MOS	2:MOS	2:MOS	2:MOS	3:MOS	3:MOS	2:MOS	2:MOS
EH2_043	SM1_TF2	5:MOS	5:MOS	1:MOS	2:MOS	2:MOS	1:MOS	2:MOS	4:MOS	4:MOS	3:MOS	2:MOS	1:MOS	4:MOS	5:MOS	4:MOS	2:MOS	3:MOS	3:MOS	3:MOS	3:MOS
EH2_085	SM1_TF2	5:MOS	5:MOS	2:MOS	3:MOS	4:MOS	1:MOS	2:MOS	4:MOS	5:MOS	4:MOS	3:MOS	1:MOS	4:MOS	3:MOS	4:MOS	3:MOS	3:MOS	5:MOS	4:MOS	4:MOS
EH2_099	SM1_TF2	5:MOS	2:MOS	1:MOS	4:MOS	2:MOS	1:MOS	5:MOS	4:MOS	1:MOS	4:MOS	2:MOS	1:MOS	1:MOS	5:MOS	4:MOS	5:MOS	1:MOS	5:MOS	2:MOS	5:MOS
EH2_046	SM1_TF2	5:MOS	5:MOS	2:MOS	3:MOS	2:MOS	1:MOS	2:MOS	1:MOS	3:MOS	3:MOS	1:MOS	1:MOS	2:MOS	3:MOS	1:MOS	1:MOS	2:MOS	2:MOS	2:MOS	1:MOS
EH2_078	SM1_TF2	5:MOS	4:MOS	1:MOS	2:MOS	3:MOS	1:MOS	2:MOS	2:MOS	3:MOS	3:MOS	3:MOS	1:MOS	2:MOS	4:MOS	2:MOS	1:MOS	2:MOS	2:MOS	2:MOS	2:MOS
